POT_ID,temperature_C,depth_m,latitude,longitude,DistanceLoggerfromBottom_m,Gear_Type
H04,-0.4,53,57.72428333,-160.9961833,0.8,Pot
H06,-0.095600543,55.9562859,57.65935,-161.0015,0.8,Pot
H07,-0.1,57,57.62625,-161.0038,0.8,Pot
H11,0.806920765,58.42735989,57.4926,-161.014,0.8,Pot
H13,0.9,,57.42641667,-161.0199167,0.8,Pot
H18,1,60,57.26118333,-161.03225,0.8,Pot
H19,1.041105263,65.80031923,57.22825,-161.035,0.8,Pot
H21,1.069492386,67.24395177,57.1634,-161.0375,0.8,Pot
H23,1.2,,57.09683333,-161.0406167,0.8,Pot
H28,1.3,57,56.9311,-161.0479,0.8,Pot
H29,1.365935162,70.07061852,56.89825,-161.0555,0.8,Pot
H33,1.066726316,71.45741427,56.76425,-161.063,0.8,Pot
H34,1.1,71,56.7308,-161.0662,0.8,Pot
H39,1.1,,56.56506667,-161.0760833,0.8,Pot
H41,1.058328804,68.55493529,56.4987,-161.081,0.8,Pot
H45,0.7,58,56.36586667,-161.0888,0.8,Pot
H46,0.607809392,54.02876395,56.33285,-161.0935,0.8,Pot
H48,0.2,49,56.26616667,-161.0952,0.8,Pot
H51,-0.6,39,56.16655,-161.10255,0.8,Pot
I01,-0.6,54,57.81548333,-160.5245833,0.8,Pot
I04,-0.320476712,57.12798186,57.71605,-160.532,0.8,Pot
I07,-0.131269022,59.56742952,57.6174,-160.539,0.8,Pot
I09,0.1,61,57.55088333,-160.5422167,0.8,Pot
I12,0.5,61,57.45156667,-160.5512833,0.8,Pot
I14,0.8,60,57.38508333,-160.5562167,0.8,Pot
I16,0.882074667,62.38964003,57.319,-160.5625,0.8,Pot
I17,0.9,64,57.2862,-160.5641833,0.8,Pot
I20,1,59,57.18678333,-160.5758667,0.8,Pot
I22,0.976270492,64.15577887,57.1178,-160.581,0.8,Pot
I24,1,65,57.05185,-160.5842333,0.8,Pot
I27,1,62,56.95275,-160.5951333,0.8,Pot
I29,1,68,56.88588333,-160.5981333,0.8,Pot
I31,1.007260388,67.05710674,56.8191,-160.6045,0.8,Pot
I32,1,68,56.78636667,-160.6069833,0.8,Pot
I35,1,65,56.68626667,-160.6157,0.8,Pot
I37,0.832279188,64.81273194,56.6221,-160.616,0.8,Pot
I39,0.8,60,56.55565,-160.6235667,0.8,Pot
I42,0.5,50,56.45535,-160.6306833,0.8,Pot
I44,0.1,41,56.38973333,-160.6379,0.8,Pot
I46,-0.179397985,36.32974623,56.32305,-160.6415,0.8,Pot
I47,-0.4,32,56.29046667,-160.6452667,0.8,Pot
I50,-0.9,25,56.19161667,-160.653,0.8,Pot
J02,-0.882240487,50.06791645,57.7687,-160.0565,0.8,Pot
J03,-0.8,49,57.7356,-160.06005,0.8,Pot
J08,-0.2,,57.57,-160.0768333,0.8,Pot
J10,0.077686636,56.08636471,57.50415,-160.084,0.8,Pot
J14,0.4,59,57.37125,-160.0934667,0.8,Pot
J15,0.467811437,60.07391799,57.33885,-160.0965,0.8,Pot
J17,0.6,60,57.27216667,-160.1044667,0.8,Pot
J20,0.7,61,57.173,-160.1167833,0.8,Pot
J21,0.6,60,57.14036667,-160.1171667,0.8,Pot
J24,0.7,62,57.04041667,-160.12635,0.8,Pot
J26,0.729432763,63.00884238,56.9739,-160.1325,0.8,Pot
J27,0.8,65,56.94351667,-160.13505,0.8,Pot
J31,0.661276543,60.30695227,56.80855,-160.147,0.8,Pot
J33,0.5,,56.7421,-160.1551,0.8,Pot
J38,-0.1,44,56.57648333,-160.1694833,0.8,Pot
J39,-0.39619202,34.8763316,56.5438,-160.1715,0.8,Pot
K10,-0.6,48,57.52513333,-159.61575,0.8,Pot
K13,-0.3,57,57.42566667,-159.6246667,0.8,Pot
K14,-0.091444134,57.43411506,57.39345,-159.627,0.8,Pot
K16,0,56,57.32641667,-159.6349833,0.8,Pot
K18,0.2,56,57.2615,-159.6401833,0.8,Pot
K21,0.4,58,57.16008333,-159.6525667,0.8,Pot
K23,0.513319328,56.22104447,57.0945,-159.664,0.8,Pot
K26,0.435241573,55.51408056,56.99485,-159.672,0.8,Pot
K29,0.1,50,56.89503333,-159.6853167,0.8,Pot
N01,-1.4,48,57.76146667,-163.96815,1.2,Trawl
N02,-1.1,51,57.61218333,-164.01955,1.2,Trawl
N03,-0.5,53,57.47203333,-164.058,1.2,Trawl
N04,-0.1,63,57.29811667,-164.0601667,1.2,Trawl
N05,0.2,67,57.13495,-164.06245,1.2,Trawl
N06,0.7,68,56.9831,-164.05105,1.2,Trawl
N07,1.1,72,56.79805,-163.9926333,1.2,Trawl
N08,1.5,74,56.64138333,-164.0252333,1.2,Trawl
N09,1.6,80,56.4892,-164.0155,1.2,Trawl
N10,1.8,86,56.30668333,-164.0134333,1.2,Trawl
N11,2.1,88,56.14146667,-164.0100833,1.2,Trawl
N12,2,90,55.98666667,-164.021,1.2,Trawl
N13,2.2,92,55.81471667,-163.99185,1.2,Trawl
N14,3,95,55.64191667,-164.01545,1.2,Trawl
N15,3.2,91,55.46823333,-163.9825333,1.2,Trawl
N16,2.6,73,55.30668333,-164.01295,1.2,Trawl
N17,2.6,41,55.14958333,-164.0169833,1.2,Trawl
O01,-1.4,47,57.80935,-163.5365,1.2,Trawl
O02,-1,47,57.62183333,-163.5947167,1.2,Trawl
O03,-0.5,49,57.46928333,-163.6282833,1.2,Trawl
O04,0.2,58,57.30771667,-163.6062333,1.2,Trawl
O05,0.5,64,57.1484,-163.5784667,1.2,Trawl
O06,0.7,67,56.97226667,-163.6304333,1.2,Trawl
O07,1.2,71,56.77623333,-163.54875,1.2,Trawl
O08,1.5,76,56.62075,-163.6071833,1.2,Trawl
O09,1.6,81,56.47158333,-163.5757833,1.2,Trawl
O10,1.9,84,56.3182,-163.5359167,1.2,Trawl
O11,2.1,87,56.11875,-163.5227167,1.2,Trawl
O12,2.2,89,55.95766667,-163.5603833,1.2,Trawl
O13,2.7,91,55.79186667,-163.5995667,1.2,Trawl
O14,3,83,55.62066667,-163.6388,1.2,Trawl
O15,2.5,75,55.4562,-163.5986167,1.2,Trawl
O16,2.4,55,55.3136,-163.5710333,1.2,Trawl
O17,2.1,41,55.17436667,-163.5789667,1.2,Trawl
P01,-3.3,51,57.78551667,-163.1249,1.2,Trawl
P02,-1.4,44,57.62778333,-163.1135,1.2,Trawl
P03,-1.2,46,57.44663333,-163.0545167,1.2,Trawl
P04,0.3,52,57.28656667,-163.0729333,1.2,Trawl
P05,0.6,57,57.15366667,-163.1155,1.2,Trawl
P06,0.8,63,56.98023333,-163.1334333,1.2,Trawl
P07,1.1,67,56.82243333,-163.1239,1.2,Trawl
P08,1.4,74,56.6468,-163.08435,1.2,Trawl
P09,1.3,80,56.46626667,-163.0677,1.2,Trawl
P10,1.8,83,56.30548333,-163.0935,1.2,Trawl
P11,2,83,56.15525,-163.10035,1.2,Trawl
P12,2,85,55.97611667,-163.1949,1.2,Trawl
P13,2.1,85,55.85865,-163.1350333,1.2,Trawl
P14,2.2,64,55.64136667,-163.1274167,1.2,Trawl
P16,1.4,31,55.31211667,-163.1254667,1.2,Trawl
Q01,-1.4,44,57.79558333,-162.63975,1.2,Trawl
Q02,-1.5,45,57.6223,-162.6358833,1.2,Trawl
Q03,-0.7,48,57.45563333,-162.6315833,1.2,Trawl
Q04,0.3,52,57.30028333,-162.6367833,1.2,Trawl
