"VESSEL","STATION","LAT_DD","LON_DD","MaleTanner","FemaleTanner","HairCrab","MaleSnow","FemaleSnow","MaleHybrid","FemaleHybrid","Tanner","Snow","Hybrid"
"Vesteraalen","Q6",56.967802,-162.652401,6,0,0,0,0,0,0,6,0,0
"Vesteraalen","Q5",57.133718,-162.648617,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","Q4",57.299606,-162.644799,3,0,0,0,0,0,0,3,0,0
"Vesteraalen","Q3",57.465467,-162.640946,1,1,0,0,0,0,0,2,0,0
"Vesteraalen","Q2",57.631302,-162.637056,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","P6",56.970016,-163.110125,1,2,1,0,0,0,0,3,0,0
"Vesteraalen","P7",56.804061,-163.11178,5,2,0,0,0,0,0,7,0,0
"Vesteraalen","P8",56.638075,-163.11342,4,0,0,0,0,0,0,4,0,0
"Vesteraalen","P9",56.472058,-163.115045,2,4,0,0,0,0,0,6,0,0
"Vesteraalen","P10",56.306008,-163.116655,11,3,0,0,0,0,0,14,0,0
"Vesteraalen","P11",56.139925,-163.118252,9,2,1,0,0,0,0,11,0,0
"Vesteraalen","P12",55.973808,-163.119833,5,5,0,0,0,0,0,10,0,0
"Vesteraalen","P13",55.807655,-163.121401,4,2,0,0,0,0,0,6,0,0
"Vesteraalen","P16",55.308974,-163.126021,3,3,0,0,0,0,0,6,0,0
"Vesteraalen","P14",55.641466,-163.122955,9,3,0,0,0,0,0,12,0,0
"Vesteraalen","O17",55.143145,-163.563268,5,3,0,0,0,0,0,8,0,0
"Vesteraalen","O16",55.309451,-163.563669,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","O15",55.475718,-163.564074,3,3,0,0,0,0,0,6,0,0
"Vesteraalen","O14",55.641947,-163.564482,4,0,0,0,0,0,0,4,0,0
"Vesteraalen","O13",55.808139,-163.564894,11,5,0,0,0,0,0,16,0,0
"Vesteraalen","O12",55.974294,-163.56531,10,10,0,0,0,0,0,20,0,0
"Vesteraalen","O11",56.140413,-163.565729,12,9,0,0,0,0,0,21,0,0
"Vesteraalen","O10",56.306498,-163.566152,14,12,0,0,0,0,0,26,0,0
"Vesteraalen","O9",56.47255,-163.566579,16,2,0,0,0,0,0,18,0,0
"Vesteraalen","O8",56.638569,-163.56701,9,6,0,0,0,0,0,15,0,0
"Vesteraalen","O7",56.804557,-163.567445,10,3,0,0,0,0,0,13,0,0
"Vesteraalen","O6",56.970514,-163.567883,2,1,0,0,0,0,0,3,0,0
"Vesteraalen","O5",57.136443,-163.568326,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","O4",57.302343,-163.568773,2,0,1,0,0,0,0,2,0,0
